dataset,model,split,RMSE,MAE,R2,MAPE
range,linear,train,59797.218223298354,40547.94357451273,0.8502589526582562,103.59216188834937
range,linear,test,59654.73301318494,40427.87243638595,0.8504523509621491,82.0161455045588
range,randomForest,train,3438.528433437458,2033.9260983714385,0.9995048644100305,4.180558025281792
range,randomForest,test,7801.008368842091,4667.930542580157,0.9974426435508668,15.829093610738587
range,xgboost,train,5774.779278846303,3886.9908580957904,0.9986034718851468,4.209656903296692
range,xgboost,test,6575.361830467196,4410.894684942485,0.9981831080950405,10.607901461511513
range,knn_k10,train,19862.106198650625,12885.714437273651,0.9834792597233198,20.187068657698763
range,knn_k10,test,21741.880657837286,14091.198101187085,0.9801352093493548,22.243105770828553
radius,linear,train,109.86233868089974,85.026699181097,0.28310699204938816,35.48957736263897
radius,linear,test,108.80467753278452,83.20596290796884,0.31512226234136764,35.50011384142683
radius,randomForest,train,5.273464306537224,1.9468347033912154,0.998348233374748,0.8351625243668632
radius,randomForest,test,9.014289716784576,4.017729237701951,0.9952991007738613,1.9595246672916042
radius,xgboost,train,6.307935511509536,4.097754257257726,0.9976366330686827,1.7308751814447014
radius,xgboost,test,8.524330028400392,5.126610741507788,0.9957962350173443,2.307493974071377
radius,knn_k5,train,8.642312371455809,5.016077493770257,0.9955637441582867,2.1240033020200477
radius,knn_k5,test,10.560035879109607,6.046076595633031,0.9935486782135884,2.7406522920948806
